Streaming output truncated to the last 5000 lines.
[2022/11/04 02:11:33] ppocr INFO: epoch: [14/500], global_step: 33740, lr: 0.000999, acc: 0.914062, norm_edit_dis: 0.980215, CTCLoss: 0.342610, SARLoss: 0.676604, loss: 1.004207, avg_reader_cost: 0.31429 s, avg_batch_cost: 0.74119 s, avg_samples: 128.0, ips: 172.69458 samples/s, eta: 13 days, 11:59:21
[2022/11/04 02:21:07] ppocr INFO: epoch: [14/500], global_step: 34320, lr: 0.000999, acc: 0.863281, norm_edit_dis: 0.969238, CTCLoss: 0.524437, SARLoss: 0.805527, loss: 1.357513, avg_reader_cost: 0.65823 s, avg_batch_cost: 1.07605 s, avg_samples: 128.0, ips: 118.95316 samples/s, eta: 13 days, 11:48:23
[2022/11/04 02:21:15] ppocr INFO: epoch: [14/500], global_step: 34330, lr: 0.000999, acc: 0.867187, norm_edit_dis: 0.971770, CTCLoss: 0.543794, SARLoss: 0.809855, loss: 1.339972, avg_reader_cost: 0.42866 s, avg_batch_cost: 0.84391 s, avg_samples: 128.0, ips: 151.67494 samples/s, eta: 13 days, 11:47:36
[2022/11/04 02:21:26] ppocr INFO: epoch: [14/500], global_step: 34340, lr: 0.000999, acc: 0.867187, norm_edit_dis: 0.971181, CTCLoss: 0.592450, SARLoss: 0.743194, loss: 1.340179, avg_reader_cost: 0.67717 s, avg_batch_cost: 1.10212 s, avg_samples: 128.0, ips: 116.13938 samples/s, eta: 13 days, 11:48:22
[2022/11/04 02:21:35] ppocr INFO: epoch: [14/500], global_step: 34350, lr: 0.000999, acc: 0.863281, norm_edit_dis: 0.970033, CTCLoss: 0.572104, SARLoss: 0.765383, loss: 1.311157, avg_reader_cost: 0.43176 s, avg_batch_cost: 0.84770 s, avg_samples: 128.0, ips: 150.99665 samples/s, eta: 13 days, 11:47:37
[2022/11/04 02:21:45] ppocr INFO: epoch: [14/500], global_step: 34360, lr: 0.000999, acc: 0.886719, norm_edit_dis: 0.976178, CTCLoss: 0.505062, SARLoss: 0.726519, loss: 1.245176, avg_reader_cost: 0.65057 s, avg_batch_cost: 1.06298 s, avg_samples: 128.0, ips: 120.41580 samples/s, eta: 13 days, 11:48:09
[2022/11/04 02:21:54] ppocr INFO: epoch: [14/500], global_step: 34370, lr: 0.000999, acc: 0.890625, norm_edit_dis: 0.975822, CTCLoss: 0.482376, SARLoss: 0.685068, loss: 1.162951, avg_reader_cost: 0.42807 s, avg_batch_cost: 0.86375 s, avg_samples: 128.0, ips: 148.19072 samples/s, eta: 13 days, 11:47:30
[2022/11/04 02:22:06] ppocr INFO: epoch: [14/500], global_step: 34380, lr: 0.000999, acc: 0.882812, norm_edit_dis: 0.973069, CTCLoss: 0.458718, SARLoss: 0.713158, loss: 1.194578, avg_reader_cost: 0.73866 s, avg_batch_cost: 1.16823 s, avg_samples: 128.0, ips: 109.56716 samples/s, eta: 13 days, 11:48:39
[2022/11/04 02:22:13] ppocr INFO: epoch: [14/500], global_step: 34390, lr: 0.000999, acc: 0.878906, norm_edit_dis: 0.971991, CTCLoss: 0.503384, SARLoss: 0.710479, loss: 1.222582, avg_reader_cost: 0.30965 s, avg_batch_cost: 0.72969 s, avg_samples: 128.0, ips: 175.41576 samples/s, eta: 13 days, 11:47:12
[2022/11/04 02:22:24] ppocr INFO: epoch: [14/500], global_step: 34400, lr: 0.000999, acc: 0.875000, norm_edit_dis: 0.972044, CTCLoss: 0.528576, SARLoss: 0.699056, loss: 1.198074, avg_reader_cost: 0.68531 s, avg_batch_cost: 1.11714 s, avg_samples: 128.0, ips: 114.57789 samples/s, eta: 13 days, 11:48:03
[2022/11/04 02:22:33] ppocr INFO: epoch: [14/500], global_step: 34410, lr: 0.000999, acc: 0.882812, norm_edit_dis: 0.972596, CTCLoss: 0.433457, SARLoss: 0.699797, loss: 1.156080, avg_reader_cost: 0.44539 s, avg_batch_cost: 0.86601 s, avg_samples: 128.0, ips: 147.80476 samples/s, eta: 13 days, 11:47:25
